node_id,actual_log_composite_score,predicted_log_composite_score,actual_composite_score,predicted_composite_score
10.130.12.1,1.9992063243989833e-05,0.35394591093063354,1.9992263332824223e-05,0.4246781248818905
10.130.12.118,1.99397218239028e-05,-0.009921640157699585,1.9939920093747787e-05,-0.0098725830623263
10.130.12.23,1.9982657249784097e-05,0.3555011451244354,1.9982857338618487e-05,0.42689555688295183
10.130.12.6,1.995003731281031e-05,0.029507659375667572,1.9950235582655296e-05,0.029947324195154158
10.130.6.112,1.9958253687946126e-05,0.24659115076065063,1.9958451957791112e-05,0.27965581950309776
10.130.6.91,1.99397218239028e-05,-0.003499343991279602,1.9939920093747787e-05,-0.003493228422667435
10.20.4.12,0.005746918264776468,0.3917410969734192,0.0057634636759757996,0.4795546006460624
10.20.4.180,0.0006196832400746644,0.3494343161582947,0.0006198752671480179,0.4182650320174598
10.20.4.223,2.4857687094481662e-05,0.13661137223243713,2.4857996322680265e-05,0.14638254584965438
10.20.4.43,0.0002443463890813291,0.38587865233421326,0.0002443762496113777,0.4709061689543762
10.20.4.182,0.0001298696151934564,0.1004427969455719,0.00012987805530428886,0.10566039274345276
10.20.5.5,0.00019108749984297901,0.393680602312088,0.00019110576249659061,0.4824269892990136
10.20.5.11,4.171347609371878e-05,0.0778367817401886,4.171434557065368e-05,0.08094621411097098
104.112.240.34,2.0811554350075312e-05,0.01169000193476677,2.0811770809814334e-05,0.011758597039094942
104.117.96.182,2.0554389266180806e-05,-0.009659282863140106,2.0554600268951617e-05,-0.009612781833065756
104.131.252.46,3.6448142054723576e-05,0.21716919541358948,3.6448807804845273e-05,0.24255431884529557
104.131.66.245,2.0489209418883547e-05,-0.02512422949075699,2.0489418602664955e-05,-0.024811242699717954
104.154.209.175,2.0082577975699678e-05,-0.009790457785129547,2.008277988352347e-05,-0.009742687278793516
104.16.100.29,3.9126833144109696e-05,0.30285969376564026,3.9127597119659185e-05,0.35372451512798536
104.16.131.65,3.0007257009856403e-05,0.20558138191699982,3.0007708119228482e-05,0.22823893333358455
104.16.161.13,3.9850630855653435e-05,0.2040705680847168,3.985142393503338e-05,0.2263846940216568
104.16.165.50,3.8786300137871876e-05,0.2859547734260559,3.8787053199484944e-05,0.33103225586225415
104.16.165.179,2.094397677865345e-05,0.01836630329489708,2.094419687637128e-05,0.018536001158717546
104.16.18.35,4.155742863076739e-05,0.11112754046916962,4.155829083174467e-05,0.11753742901360455
104.16.205.165,4.689443449024111e-05,0.18204638361930847,4.689553315984085e-05,0.1996698376184233
104.16.22.11,8.849707955960184e-05,0.1577107012271881,8.850099402479827e-05,0.17082742676971885
104.16.22.35,4.1776656871661544e-05,0.1015128642320633,4.1777529986575246e-05,0.10684415700044474
104.16.47.63,1.994902231672313e-05,-0.10315896570682526,1.9949220586568117e-05,-0.09801642237265552
104.16.70.41,2.0025461708428338e-05,-0.019788287580013275,2.0025661797262728e-05,-0.01959378449119543
104.16.76.166,7.708490011282265e-05,0.2203289419412613,7.708786870352924e-05,0.24648668490798925
104.16.76.39,1.99636779143475e-05,-0.07678468525409698,1.996387800318189e-05,-0.07391076719107029
104.16.99.29,4.408338645589538e-05,0.1711970865726471,4.408435779623687e-05,0.1867246134619274
104.17.228.29,2.0524696083157323e-05,-0.004355262964963913,2.0524907085928135e-05,-0.004345792560905424
104.18.42.166,1.9986098777735606e-05,-0.0490787997841835,1.9986298866569996e-05,-0.04789389901285704
104.18.53.133,2.069666879833676e-05,0.011295557022094727,2.0696883439086378e-05,0.011359592705428759
104.19.196.102,7.836491568014026e-05,0.15470579266548157,7.836798613425344e-05,0.1673144780988466
104.193.82.53,2.209706508438103e-05,0.010828875005245209,2.2097308828961104e-05,0.010887719486881735
104.193.82.55,2.0518560631899163e-05,0.005846403539180756,2.0518771634669974e-05,0.005863527110523843
104.193.82.57,4.377133518573828e-05,0.11446615308523178,4.3772291974164546e-05,0.1212746887328603
